Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
07_0maj_,2,3, 382 461 943, 135,1,False,1,v
07_10maj7_7maj_7maj_,4,1, 705, 5,1,False,1,c
07_5maj_27_5maj_,4,16, 1006 1041 1046 1116 1194 235 288 346 429 472 565 731 748 788 793 875, 20,1,False,1,v
07_5maj_7maj_77_5maj_,5,13, 1006 1041 1046 1116 1194 288 472 565 678 748 788 822 875, 136 168 19,3,False,1,v
0maj_0maj(9)_,2,2, 670 734, 137,1,False,1,v
0maj_0maj6_0maj7_0maj6_,4,4, 102 153 390 734, 138,1,False,1,v
0maj_0sus4(b7|9)_,2,2, 461 512, 140 141 219 220,4,False,1,v
0maj_0sus4_,2,20, 1048 1066 1234 1256 182 229 231 234 265 354 507 518 651 656 68 747 813 822 894 973, 122 142 221,3,False,2,p,v
0maj_5maj_7maj_5maj_7maj_,5,10, 1113 1135 1142 1212 139 183 662 773 948 965, 106,1,False,1,v
0maj_7maj_5maj_0sus4_,4,3, 234 354 68, 125,1,False,1,p
0maj_7maj_5sus4_,3,6, 100 1126 354 372 540 752, 87,1,False,1,c
0min7_0min9_,2,2, 55 670, 215 217 218,3,False,2,t,v
0min7_2min_10maj_,3,1, 550, 139,1,False,1,v
1maj_4min_7min7_,3,1, 227, 202,1,False,1,t
21_21_81_,3,2, 352 913, 2 3 4,3,False,1,v
27_10maj7_7maj_7maj_10maj7_,5,1, 705, 189,1,False,1,c
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,8,1, 705, 100,1,False,1,c
27_10maj7_7maj_7maj_2min7_8maj7_,6,1, 705, 210,1,False,1,c
27_10maj7_7maj_7maj_5maj_9min7_8maj7_,7,1, 705, 28,1,False,1,c
27_5maj_5maj_,3,14, 102 1138 1141 1154 1218 1245 167 296 463 472 477 500 726 914, 163 17 80,3,False,2,c,v
2maj_10maj_,2,21, 1031 1051 1073 1109 1281 223 393 415 448 480 53 561 572 582 617 64 706 83 834 841 844, 127 143 22 23 24 25 30 31 39 40,10,False,3,b,c,v
2maj_10maj_7maj_5maj_,4,10, 1119 1171 238 268 29 310 339 803 83 935, 129 144 167 34 41 86 90,7,False,2,c,v
2maj_10maj_7maj_5maj_7maj_5maj_7maj_5maj_,8,5, 139 215 29 561 995, 42,1,False,1,c
2maj_2min7_8maj_,3,1, 352, 208 209 47 48 61 62 63,7,False,1,c
2maj_2min_10maj_10maj_,4,3, 1171 1282 33, 46,1,False,1,c
2maj_2min_8maj_,3,19, 1051 1073 1279 155 16 281 33 334 352 44 465 478 531 572 599 842 898 913 991, 123 124 145 146 151 191 192 193 201 203 204 43 44 45 57 58 59,17,False,3,c,p,v
