Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
07_07_,2,4, 1024 153 245 790, 7,1,False,1,v
07_0maj_,2,3, 382 841 943, 114,1,False,1,v
07_10maj7_7maj_7maj_,4,1, 705, 3,1,False,1,c
07_5maj_27_5maj_,4,13, 1006 1041 1046 1116 1194 235 288 346 429 565 731 748 875, 13,1,False,1,v
07_5maj_7maj_77_5maj_,5,9, 1006 1041 1046 1116 1194 288 565 748 875, 142,1,False,1,v
0maj6_0maj7_,2,4, 102 153 390 734, 171,1,False,1,v
0maj_0maj6_0maj7_0maj6_,4,4, 102 153 390 734, 118,1,False,1,v
0maj_0maj_,2,3, 1043 689 734, 116 117 154 155,4,False,1,v
0maj_0maj_0maj_5maj_2maj_5maj_,6,1, 448, 75,1,False,1,c
0maj_0maj_5maj_2maj_5maj_,5,1, 448, 29,1,False,1,c
0maj_0maj_5maj_2maj_5maj_0maj_0maj_5maj_2maj_5maj_,10,1, 448, 30,1,False,1,c
0maj_0maj_5maj_2maj_5maj_5maj_2maj_5maj_,8,1, 448, 73 80,2,False,1,c
0maj_0maj_5maj_2maj_5maj_7maj_5maj_,7,1, 448, 58,1,False,1,c
0maj_0sus_,2,1, 461, 120 204,2,False,1,v
0maj_10maj_7maj_7maj_,4,1, 621, 115 150 151 164 165 169 170,7,False,1,v
0maj_5maj_2maj_5maj_,4,2, 385 467, 57 60 76 79,4,False,1,c
0maj_5maj_7maj_,3,8, 109 1212 245 25 429 457 748 788, 137 141 166 167,4,False,1,v
0maj_9min7_8maj7_7maj_,4,1, 390, 173,1,False,1,c
0min7_0min7_,2,2, 55 670, 199,1,False,1,v
0min7_2min_10maj_,3,1, 550, 119,1,False,1,v
1maj_4min_7min7_,3,1, 227, 187,1,False,1,t
27_10maj7_7maj_7maj_10maj7_,5,1, 705, 172,1,False,1,c
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,8,1, 705, 65,1,False,1,c
27_10maj7_7maj_7maj_2min7_8maj7_,6,1, 705, 196,1,False,1,c
27_10maj7_7maj_7maj_5maj_9min7_8maj7_,7,1, 705, 71,1,False,1,c
27_5maj_5maj_,3,10, 102 1138 1141 1154 1245 167 463 500 726 914, 10 132,2,False,1,v
2maj_10maj_,2,13, 1051 1281 223 480 53 561 572 582 617 637 834 841 844, 125 126 15 152 153 16 22 31,8,False,3,b,c,v
2maj_10maj_7maj_5maj_,4,7, 1119 238 29 324 339 555 83, 110 111 121 122 134 135 144 26 61 77 88,11,False,2,c,v
2maj_2min7_8maj_,3,2, 352 608, 190 191 197 32 33 44 45 46,8,False,2,c,l
2maj_2min_8maj_,3,7, 1073 1279 155 281 334 599 898, 127 156 176 177 178 189 36 37 38 81 82 83,12,False,2,c,v
2maj_3maj_7maj_,3,4, 114 1246 370 567, 47,1,False,1,c
2maj_5maj_5maj_,3,34, 1044 1045 105 1104 1208 184 217 231 249 254 30 324 325 385 387 421 443 448 465 555 589 6 615 690 71 720 758 785 791 821 838 902 927 94, 123 128 133 136 35 39 40 49 51 52 59 72 78 84 85,15,False,2,c,v
2maj_5maj_7maj_10maj_,4,3, 150 81 821, 41 70 74 86,4,False,1,c
2maj_5maj_9min_8maj_,4,23, 1063 1094 112 119 1210 1228 1270 145 157 253 371 434 511 54 568 571 587 620 623 637 749 964 992, 100 109 124 131 17 175 184 188 34 50,10,False,3,c,i,v
2min7_10maj7_,2,3, 511 528 984, 198,1,False,1,v
2min7_5min7_5min7_,3,7, 1056 1112 319 338 631 722 804, 195,1,False,1,c
2min_10maj_,2,7, 294 320 478 542 608 629 932, 179 180 181 42 43,5,False,1,c
2min_5maj_5maj_,3,6, 109 228 728 789 842 926, 183,1,False,1,c
2nc_2nc_8nc_,3,2, 352 913, 200 201 202,3,False,1,v
