Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2maj_2min_10maj_10maj_,False,0,False,False,18,5, 1171 134 524 608 633, 69, c d i l o p t,.maj_2.min_10.maj_10.maj_2.maj_2.min_10.maj_10.maj,18,5, 1171 134 524 608 633, c d i l o p t,8
0maj_5maj_5maj_2mct_,False,0,False,False,23,6, 1188 1277 472 748 791 83, 94 148, c d i iv l o t tv u v,.maj_5.maj_5.maj_2.mct_0.maj_5.maj_5.maj,22,6, 1188 1277 472 748 791 83, c d i iv l o t tv u v,7
0maj_5maj_5maj_2mct_,False,0,False,False,23,6, 1188 1277 472 748 791 83, 94 148, c d i iv l o t tv u v,.maj_5.maj_2.mct_0.maj_5.maj_5.maj,1,1, 748, c d i iv l o t tv u v,6
5maj_7maj_7maj_5maj_7maj_10maj_7maj_,False,0,False,False,2,2, 115 427, 109 189, c i o p u v,.maj_7.maj_5.maj_7.maj_10.maj_7.maj_5.maj_7.maj,1,1, 115, c i o p u v,8
5maj_7maj_7maj_5maj_7maj_10maj_7maj_,False,0,False,False,2,2, 115 427, 109 189, c i o p u v,.maj_5.maj_7.maj_10.maj_7.maj_5.maj_7.maj,1,1, 427, c i o p u v,7
2maj_5maj_9min_8maj_,False,0,False,False,123,38, 1046 1063 1094 112 1181 119 120 1210 1211 1232 1248 1270 145 157 169 217 253 267 355 401 404 465 484 511 54 543 549 568 571 572 587 617 620 623 67 749 914 992, 1 66 138, b c cb cd cs ct cv d dv i ic l ld lv o od s sv u v vc vt vu,.maj_2.maj_5.maj_9.min_8.maj_2.maj_5.maj,69,23, 1046 1063 1094 119 120 1210 1248 1270 145 169 253 355 401 511 54 568 571 587 617 620 749 914 992, b c cb cd cs ct cv d dv i ic l ld lv o od sv u v vc vt vu,7
2maj_5maj_9min_8maj_,False,0,False,False,123,38, 1046 1063 1094 112 1181 119 120 1210 1211 1232 1248 1270 145 157 169 217 253 267 355 401 404 465 484 511 54 543 549 568 571 572 587 617 620 623 67 749 914 992, 1 66 138, b c cb cd cs ct cv d dv i ic l ld lv o od s sv u v vc vt vu,.maj_9.min_8.maj_2.maj_5.maj_9.min_8.maj,7,6, 112 1210 253 267 404 67, c i v,7
2maj_5maj_9min_8maj_,False,0,False,False,123,38, 1046 1063 1094 112 1181 119 120 1210 1211 1232 1248 1270 145 157 169 217 253 267 355 401 404 465 484 511 54 543 549 568 571 572 587 617 620 623 67 749 914 992, 1 66 138, b c cb cd cs ct cv d dv i ic l ld lv o od s sv u v vc vt vu,.maj_5.maj_9.min_8.maj_2.maj,47,26, 1046 1094 1181 120 1210 1211 1232 145 157 169 217 253 267 465 484 511 54 543 549 568 571 572 587 623 749 992, b c d i l o s u v,5
0min_2min_10maj_,False,0,False,False,15,1, 550, 45 254, s v,.maj_0.min_2.min_10.maj_0.min_2.min,15,1, 550, s v,6
2maj_7maj_3maj_,False,0,False,False,9,5, 1062 1089 476 625 688, 84, c cd d i l v,.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj,9,5, 1062 1089 476 625 688, c cd d i l v,19
