Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2maj_2min_10maj_10maj_,False,0,False,True,24,2, 1282 432, 216, c d o u,.maj_2.min_10.maj_10.maj,24,2, 1282 432, c d o u,4
5maj_5maj_7maj_7maj_10maj_7maj_7maj_,False,0,False,True,22,11, 1135 1193 1228 1247 289 314 322 425 545 773 792, 92, c d l v vl vt,.maj_5.maj_5.maj_7.maj_7.maj_10.maj_7.maj,22,11, 1135 1193 1228 1247 289 314 322 425 545 773 792, c d l v vl vt,7
0min_2min_10maj_,False,0,False,True,15,1, 550, 55 277, s v,.maj_0.min_2.min_10.maj_0.min_2.min,15,1, 550, s v,6
2maj_7maj_3maj_,False,0,False,True,42,11, 1062 1089 290 291 476 579 625 688 824 841 932, 83 84 85 130 214 244, b bc c cd ct d i ic l o v,.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj,10,4, 1062 291 625 688, c d i l v,16
2maj_7maj_3maj_,False,0,False,True,42,11, 1062 1089 290 291 476 579 625 688 824 841 932, 83 84 85 130 214 244, b bc c cd ct d i ic l o v,.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj,1,1, 625, c d i l v,15
2maj_7maj_3maj_,False,0,False,True,42,11, 1062 1089 290 291 476 579 625 688 824 841 932, 83 84 85 130 214 244, b bc c cd ct d i ic l o v,.maj_7.maj_3.maj_2.maj_7.maj_3.maj,12,4, 1089 290 824 932, b bc c d ic l o v,6
2maj_7maj_3maj_,False,0,False,True,42,11, 1062 1089 290 291 476 579 625 688 824 841 932, 83 84 85 130 214 244, b bc c cd ct d i ic l o v,.maj_3.maj_2.maj_7.maj,19,4, 1062 476 579 841, b c cd ct d i l v,4
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,18,4, 107 589 690 75, c cd d i l o v,12
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,3,1, 107, c cd d i l o v,9
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,56,18, 1002 1082 1249 1265 15 162 209 268 271 314 389 407 510 518 555 675 810 929, b c cd cl cu cv d i ic iv l ld lv o s sc t v vc,7
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj,46,16, 1002 1249 1265 209 271 389 406 407 545 577 589 675 690 71 810 929, b c cd cl cu cv d i ic iv l ld lv o s sc t u v vc,6
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_7.maj_10.maj_7.maj_7.maj_10.maj,16,5, 130 150 300 645 821, b c d i o t v,6
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_7.maj_7.maj_10.maj_7.maj,108,11, 1032 1034 1086 1240 1246 206 366 74 762 886 991, c cd d i ic l o p s t u v,5
7maj_7maj_10maj_,False,0,False,True,262,47, 1002 1032 1034 107 1082 1086 1208 1240 1246 1249 1265 1276 130 15 150 162 206 209 268 271 300 314 366 389 39 406 407 510 518 545 555 577 589 645 655 675 690 71 74 75 762 810 821 886 889 929 991, 31 36 37 38 156 157 158 159 166 169 181 193 231 232 233 236, b c cd cl cu cv d i ic iv l ld lv o p s sc t tv u v vc,.maj_7.maj_10.maj_7.maj,15,8, 107 1208 1276 39 655 690 75 889, b c cd d i ic l o p s t tv u v,4
2mct_3maj_7maj_,False,0,False,True,9,3, 215 51 567, 259, c i v,.mct_3.maj_7.maj_2.mct,9,3, 215 51 567, c i v,4
0maj_5maj_0maj_5maj_2maj_5maj_0maj_5maj_2maj_5maj_0maj_5maj_2maj_,False,0,False,True,10,1, 66, 108, c d v,.maj_5.maj_0.maj_5.maj_2.maj_5.maj_0.maj_5.maj_2.maj_5.maj_0.maj_5.maj_2.maj,10,1, 66, c d v,13
5maj_7maj_5maj_7maj_,False,0,False,True,6,1, 451, 245, c i o p u v,.maj_7.maj_5.maj_7.maj,6,1, 451, c i o p u v,4
3maj_9min_,False,0,False,True,41,17, 1020 112 1270 1292 228 250 3 310 390 400 404 543 549 598 617 818 920, 8 9 10 11 18 279 280 281 282 303, c co d i iv o od v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,5,5, 112 1270 400 404 617, co d i o v,14
3maj_9min_,False,0,False,True,41,17, 1020 112 1270 1292 228 250 3 310 390 400 404 543 549 598 617 818 920, 8 9 10 11 18 279 280 281 282 303, c co d i iv o od v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,5,3, 1020 549 617, c co d i o v,12
