Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2maj_2min_10maj_10maj_,False,1,True,False,17,3, 1171 1282 33, 46, c,.maj_2.maj_2.min_10.maj_10.maj,17,3, 1171 1282 33, c,5
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,False,1,True,False,12,1, 705, 100, c,.maj_7.maj_9.min7_8.maj7_2.7_10.maj7_7.maj_7.maj,12,1, 705, c,8
2min_10maj_,False,1,True,False,135,20, 1073 1173 196 217 246 294 320 479 481 51 542 608 62 629 749 797 812 932 945 947, 60 152 153 195 206, c v,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj,31,5, 1073 481 62 629 812, v,7
2min_10maj_,False,1,True,False,135,20, 1073 1173 196 217 246 294 320 479 481 51 542 608 62 629 749 797 812 932 945 947, 60 152 153 195 206, c v,.min_10.maj_2.min_10.maj_2.min_10.maj,2,1, 749, v,6
2min_10maj_,False,1,True,False,135,20, 1073 1173 196 217 246 294 320 479 481 51 542 608 62 629 749 797 812 932 945 947, 60 152 153 195 206, c v,.maj_2.min_10.maj_2.min_10.maj,75,12, 196 246 294 320 479 51 542 608 797 932 945 947, c v,5
2min_10maj_,False,1,True,False,135,20, 1073 1173 196 217 246 294 320 479 481 51 542 608 62 629 749 797 812 932 945 947, 60 152 153 195 206, c v,.min_10.maj_2.min_10.maj,27,11, 1173 217 320 51 542 608 629 797 812 945 947, c,4
5maj_7min7_,False,1,True,False,26,3, 1292 384 961, 216, v,.min7_5.maj_7.min7_5.maj,26,3, 1292 384 961, v,4
2maj_7maj_3maj_,False,1,True,False,18,3, 1062 414 699, 38 65, c,.maj_3.maj_2.maj_7.maj_3.maj_2.maj,18,3, 1062 414 699, c,6
0maj_0maj(9)_,False,1,True,False,23,2, 670 734, 137, v,.maj_0.maj(9)_0.maj_0.maj(9),23,2, 670 734, v,4
0maj_0sus4_,False,1,True,False,73,17, 1048 1066 1234 1256 182 229 231 234 265 507 518 651 747 813 822 894 973, 122 142 221, p v,.sus4_0.maj_0.sus4_0.maj,33,9, 1048 1066 182 507 518 651 813 894 973, v,4
0maj_0sus4_,False,1,True,False,73,17, 1048 1066 1234 1256 182 229 231 234 265 507 518 651 747 813 822 894 973, 122 142 221, p v,.maj_0.sus4_0.maj,40,10, 1234 1256 182 229 231 234 265 507 747 822, p v,3
5maj_7maj_,False,1,True,False,136,36, 1009 1018 1061 1071 1100 1113 1117 1139 1177 139 147 191 203 207 229 234 245 246 254 293 318 330 41 452 468 477 492 559 619 662 674 752 879 900 91 968, 73 74 75 92 93 94 111 115 157 158 159 171 172 173, c d l v,.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,22,8, 1018 1100 1117 234 330 559 619 674, v,16
5maj_7maj_,False,1,True,False,136,36, 1009 1018 1061 1071 1100 1113 1117 1139 1177 139 147 191 203 207 229 234 245 246 254 293 318 330 41 452 468 477 492 559 619 662 674 752 879 900 91 968, 73 74 75 92 93 94 111 115 157 158 159 171 172 173, c d l v,.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,2,1, 968, v,15
5maj_7maj_,False,1,True,False,136,36, 1009 1018 1061 1071 1100 1113 1117 1139 1177 139 147 191 203 207 229 234 245 246 254 293 318 330 41 452 468 477 492 559 619 662 674 752 879 900 91 968, 73 74 75 92 93 94 111 115 157 158 159 171 172 173, c d l v,.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,20,6, 1113 254 293 41 468 477, c v,14
5maj_7maj_,False,1,True,False,136,36, 1009 1018 1061 1071 1100 1113 1117 1139 1177 139 147 191 203 207 229 234 245 246 254 293 318 330 41 452 468 477 492 559 619 662 674 752 879 900 91 968, 73 74 75 92 93 94 111 115 157 158 159 171 172 173, c d l v,.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,9,3, 1113 245 452, c v,13
