Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2min7_5min7_5min7_,False,7,True,True,77,7, 1056 1112 319 338 631 722 804, 195, c,.min7_5.min7_5.min7,77,7, 1056 1112 319 338 631 722 804, c,3
07_5maj_7maj_77_5maj_,False,7,True,True,27,9, 1006 1041 1046 1116 1194 288 565 748 875, 142, v,.maj_7.7_5.maj_0.7_5.maj,27,9, 1006 1041 1046 1116 1194 288 565 748 875, v,5
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,False,7,True,True,12,1, 705, 65, c,.maj_7.maj_9.min7_8.maj7_2.7_10.maj7_7.maj_7.maj,12,1, 705, c,8
2min_10maj_,False,7,True,True,39,7, 294 320 478 542 608 629 932, 42 43 179 180 181, c,.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj,7,2, 608 629, c,10
2min_10maj_,False,7,True,True,39,7, 294 320 478 542 608 629 932, 42 43 179 180 181, c,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj,2,1, 542, c,9
2min_10maj_,False,7,True,True,39,7, 294 320 478 542 608 629 932, 42 43 179 180 181, c,.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj,3,1, 629, c,8
2min_10maj_,False,7,True,True,39,7, 294 320 478 542 608 629 932, 42 43 179 180 181, c,.maj_2.min_10.maj_2.min_10.maj,24,7, 294 320 478 542 608 629 932, c,5
2min_10maj_,False,7,True,True,39,7, 294 320 478 542 608 629 932, 42 43 179 180 181, c,.min_10.maj_2.min_10.maj,3,3, 320 608 629, c,4
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj,11,2, 317 75, c,11
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,31,4, 1086 74 762 886, c,11
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,1,1, 317, c,10
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,1,1, 762, c,9
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,13,3, 406 810 886, c v,8
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,45,9, 1002 107 1265 162 209 389 589 67 852, c v,7
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_10.maj_7.maj_7.maj_10.maj_7.maj,42,11, 1002 107 1086 1249 268 406 589 74 762 810 852, c v,6
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_7.maj_10.maj_7.maj,52,9, 1032 1246 187 206 560 675 852 886 991, c o v,5
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_7.maj_10.maj_7.maj,6,4, 107 187 852 889, c o v,4
7maj_7maj_10maj_,False,7,True,True,248,28, 1002 1032 107 1086 1246 1249 1265 162 187 206 209 268 317 389 406 560 589 67 675 690 74 75 762 810 852 886 889 991, 23 24 25 27 64 67 68 69 94 95 96 97 101 107 108 112 113 145 146 147 148 149 160 161 162, c l o v,.maj_10.maj_7.maj,46,4, 107 589 690 75, l,3
0min7_0min7_,False,7,True,True,27,2, 55 670, 199, v,.min7_0.min7_0.min7_0.min7,27,2, 55 670, v,4
5maj_7maj_,False,7,True,True,280,54, 1018 1061 1071 1100 1113 1117 1119 1139 1142 1177 1180 126 1281 139 147 187 191 203 208 215 229 234 246 254 29 293 318 330 351 4 41 417 456 468 477 492 559 560 561 591 610 615 619 662 674 752 758 803 807 864 91 941 968 979, 53 54 55 56 62 63 66 87 90 91 92 93 98 99 103 104 105 106 138 139 140 157 158 159, c d l o v,.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,37,10, 1018 1100 1113 1117 330 468 477 619 674 968, c v,14
