progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,20,6,C.1.v.0,A-.1.v.0,B-.1.v.0,C.1.v.0,A-.1.v.0,B-.1.v.0,,,,,,,,,,,,,,C.1.v.0_A-.1.v.0_B-.1.v.0_C.1.v.0_A-.1.v.0_B-.1.v.0_,1.295461844238322,####,3,2,352 913 ,v ,NoBound,_C.1.v.0_A-.1.v.0_B-.1.v.0,3,2.0,2:1-->,21_21_81_
2,26,4,C.1.v.0,D.1.v.0,B-.1.v.0,C.1.v.0,,,,,,,,,,,,,,,,C.1.v.0_D.1.v.0_B-.1.v.0_C.1.v.0_,1.1401156785146092,#,3,2,352 913 ,v ,NoBound,_C.1.v.0_D.1.v.0_B-.1.v.0,3,1.33,8:1-->,21_21_81_
3,20,5,C.1.v.0,D.1.v.0,E.1.v.0,C.1.v.0,D.1.v.0,,,,,,,,,,,,,,,C.1.v.0_D.1.v.0_E.1.v.0_C.1.v.0_D.1.v.0_,1.295461844238322,##,3,2,352 913 ,v ,NoBound,_C.1.v.0_D.1.v.0_E.1.v.0,3,1.67,2:1-->,21_21_81_
4,24,4,C.7.c.1,B-.maj7.c.2,F.maj.c.0,C.maj.c.1,,,,,,,,,,,,,,,,C.7.c.1_B-.maj7.c.2_F.maj.c.0_C.maj.c.1_,1.2987949406953985,##,3,1,705 ,c ,NoBound,_C.7.c.1_B-.maj7.c.2_F.maj.c.0_C.maj.c.1,4,1.0,7:maj-->,07_10maj7_7maj_7maj_
5,20,3,C.7.c.2,G.min7.c.0,C.7.c.2,,,,,,,,,,,,,,,,,C.7.c.2_G.min7.c.0_C.7.c.2_,2.0086949695628418,#,3,3,490 691 834 ,c ,NoBound,_C.7.c.2_G.min7.c.0,2,1.5,7:min7-->,57_7min7_
6,22,4,C.7.l.0,F.7.l.0,C.7.l.0,G.7.l.0,,,,,,,,,,,,,,,,C.7.l.0_F.7.l.0_C.7.l.0_G.7.l.0_,1.288649764535596,#,9,8,1024 1193 1247 289 383 455 672 792 ,l ,NoBound,_C.7.l.0_F.7.l.0_C.7.l.0_G.7.l.0,4,1.0,7:7-->,57_57_77_77_
7,30,3,C.7.v.0,B-.maj.v.2,F.maj.v.3,,,,,,,,,,,,,,,,,C.7.v.0_B-.maj.v.2_F.maj.v.3_,1.3567796494470397,#,1,1,430 ,v ,NoBound,_C.7.v.0_B-.maj.v.2_F.maj.v.3,3,1.0,7:maj-->,77_10maj_7maj_
8,21,6,C.7.v.0,B-.maj.v.2,F.maj.v.3,C.7.v.0,B-.maj.v.2,F.maj.v.3,,,,,,,,,,,,,,C.7.v.0_B-.maj.v.2_F.maj.v.3_C.7.v.0_B-.maj.v.2_F.maj.v.3_,1.6644977792004614,##,1,1,430 ,v ,NoBound,_C.7.v.0_B-.maj.v.2_F.maj.v.3,3,2.0,7:maj-->,77_10maj_7maj_
9,44,5,C.7.v.0,F.7.v.0,C.7.v.0,F.7.v.0,C.7.v.0,,,,,,,,,,,,,,,C.7.v.0_F.7.v.0_C.7.v.0_F.7.v.0_C.7.v.0_,1.3578897368851246,#,7,7,1149 115 1168 1193 391 510 890 ,v ,NoBound,_C.7.v.0_F.7.v.0,2,2.5,5:7-->,57_77_
10,26,6,C.7.v.0,F.7.v.0,C.7.v.0,G.7.v.0,F.7.v.0,C.7.v.0,,,,,,,,,,,,,,C.7.v.0_F.7.v.0_C.7.v.0_G.7.v.0_F.7.v.0_C.7.v.0_,2.295465679180292,#,9,9,1125 1134 115 1193 214 314 425 510 792 ,v ,NoBound,_C.7.v.0_F.7.v.0_C.7.v.0_G.7.v.0_F.7.v.0,5,1.2,10:7-->,57_77_77_107_77_
