Abstract Loop,Total Files,|,Total in File,keyMode,triadMode,formMode,beatMode,File
07_77_5sus4(b7)_,3,|,22,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.3_0.25.csv
07_77_5sus4(b7)_,3,|,22,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.5_0.25.csv
07_77_5sus4(b7)_,3,|,22,False,1,False,False,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeFalse_formModeFalse_1.4_0.25.csv
1maj_2maj_5maj_7maj_9min_,3,|,25,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.3_0.25.csv
1maj_2maj_5maj_7maj_9min_,3,|,25,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.5_0.25.csv
1maj_2maj_5maj_7maj_9min_,3,|,25,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_1.4_0.25.csv
0min_7maj_9min_3maj_5maj_,1,|,12,False,0,False,False,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeFalse_formModeFalse_0.5_0.25.csv
2maj_10maj_7maj_5maj_7maj_9min_8maj_,2,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.6_0.25.csv
2maj_10maj_7maj_5maj_7maj_9min_8maj_,2,|,12,False,0,False,True,entropyStats_ngrams-entropy_noKey_TriadMode0_BeatModeTrue_formModeFalse_0.5_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.8_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.5_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.8_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.6_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.9_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.7_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.9_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.7_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,False,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeFalse_0.6_0.25.csv
0maj_3maj9_1hdim7_8maj_,10,|,9,False,1,True,True,entropyStats_ngrams-entropy_noKey_TriadMode1_BeatModeTrue_formModeTrue_0.5_0.25.csv
