Abstract Loop,Loop Total,Loop Songs,Loop Total Songs,Loop ProgIDs,Loop Forms,keyMode,triadMode,formMode,beatMode,Abstract Lick,Lick Total,Lick Songs,Lick Total Songs,Lick Forms,Lick Length
0maj_1maj_7maj_0maj_10maj_11min_0mct_7maj_1maj_9maj_0maj_9maj_5maj_,10,['381'],1,['91'],['v'],False,0,False,True,.maj_1.maj_7.maj_0.maj_10.maj_11.min_0.mct_7.maj_1.maj_9.maj_0.maj_9.maj_5.maj,10,['381'],1,['v'],13
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,26,"['1104', '1143', '324', '791']",4,"['c', 'd', 'o', 'v']",19
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,4,"['1104', '1143', '324', '615', '791']",5,"['c', 'd', 'o', 'v']",18
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj,2,"['1045', '465', '477', '845']",4,"['d', 'o', 'v']",17
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj,0,"['1045', '465', '477', '845']",4,"['d', 'o', 'v']",16
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj,15,"['1104', '1143', '324', '443', '463', '615', '791']",7,"['c', 'cv', 'd', 'o', 'p', 't', 'u', 'v']",14
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,7,"['1045', '465', '477', '589', '845']",5,"['c', 'd', 'o', 'v']",13
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,4,"['1040', '1072', '1154', '1208', '235', '280', '290', '43', '443', '463', '729', '838']",12,"['b', 'c', 'cu', 'd', 'iv', 'lo', 'o', 'od', 's', 'u', 'uv', 'v', 'vp']",13
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,1,"['1040', '1072', '1154', '1208', '235', '280', '290', '43', '443', '463', '729', '838']",12,"['b', 'c', 'cu', 'd', 'iv', 'lo', 'o', 'od', 's', 'u', 'uv', 'v', 'vp']",12
2maj_5maj_5maj_,262,"['101', '1040', '1041', '1044', '1045', '105', '1071', '1072', '1104', '1138', '1143', '1154', '1203', '1208', '1218', '1225', '1239', '1245', '167', '169', '222', '224', '235', '249', '254', '280', '290', '293', '294', '30', '308', '324', '355', '372', '380', '387', '410', '427', '43', '443', '463', '465', '472', '477', '500', '511', '516', '555', '565', '589', '601', '606', '615', '620', '689', '71', '720', '726', '729', '731', '758', '785', '791', '838', '845', '891', '914', '973', '993']",69,"['103', '104', '105', '112', '148', '149', '150', '155', '156', '157', '175', '176', '177', '178', '179', '180', '181', '201', '202', '203', '209', '338', '339', '340', '351', '360', '361', '362', '409']","['b', 'c', 'cd', 'co', 'cu', 'cv', 'd', 'i', 'iv', 'l', 'lo', 'o', 'od', 'p', 's', 'sd', 't', 'tp', 'u', 'uv', 'v', 'vc', 'vp']",False,0,False,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,1,"['1045', '465', '477', '589', '845']",5,"['c', 'd', 'o', 'v']",12
