Abstract Loop,Loop Total,Loop Songs,Loop Total Songs,Loop ProgIDs,Loop Forms,keyMode,triadMode,formMode,beatMode,Abstract Lick,Lick Total,Lick Songs,Lick Total Songs,Lick Forms,Lick Length
5maj_5maj_7maj_7maj_,61,"['1006', '1072', '1102', '1116', '1141', '1193', '1228', '160', '169', '425', '472', '510', '545', '59', '591', '638', '802', '83', '875', '905', '993']",21,"['104', '43', '91']","['c', 'v']",False,0,True,True,.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,41,"['1072', '1116', '1193', '425', '59', '802', '83', '875', '905', '993']",10,['v'],7
5maj_5maj_7maj_7maj_,61,"['1006', '1072', '1102', '1116', '1141', '1193', '1228', '160', '169', '425', '472', '510', '545', '59', '591', '638', '802', '83', '875', '905', '993']",21,"['104', '43', '91']","['c', 'v']",False,0,True,True,.maj_7.maj_5.maj_5.maj_7.maj_7.maj,19,"['1006', '1072', '1102', '1141', '1228', '160', '169', '545', '591', '638', '905']",11,['c'],6
5maj_5maj_7maj_7maj_,61,"['1006', '1072', '1102', '1116', '1141', '1193', '1228', '160', '169', '425', '472', '510', '545', '59', '591', '638', '802', '83', '875', '905', '993']",21,"['104', '43', '91']","['c', 'v']",False,0,True,True,.maj_7.maj_7.maj_5.maj_5.maj_7.maj,1,"['1072', '1116', '1193', '425', '472', '510', '59', '802', '83', '875', '905', '993']",12,['v'],6
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,55,"['1143', '324', '443', '463', '791']",5,['c'],11
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,4,"['1143', '324', '443', '463', '791']",5,['c'],10
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,25,"['1040', '235', '43']",3,['c'],9
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,21,"['1040', '235', '43']",3,['c'],8
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,28,"['1040', '1154', '1208', '235', '249', '254', '290', '43', '463', '500', '555', '620', '726', '758', '785', '838']",16,"['c', 'v']",7
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,28,"['1040', '1154', '1208', '235', '249', '254', '290', '43', '463', '500', '555', '620', '726', '758', '785', '838']",16,"['c', 'v']",7
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_2.maj_5.maj_5.maj_2.maj_5.maj,21,"['101', '1040', '1154', '1208', '1239', '235', '249', '254', '290', '355', '43', '463', '500', '511', '555', '620', '726', '758', '785', '838']",20,"['c', 'v']",6
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj,14,"['1045', '1143', '231', '30', '324', '387', '443', '463', '465', '472', '477', '589', '720', '791']",14,['c'],6
2maj_5maj_5maj_,447,"['101', '1040', '1041', '1044', '1045', '105', '1138', '1143', '1154', '1208', '1218', '1225', '1239', '1245', '167', '184', '217', '231', '235', '249', '254', '290', '294', '30', '324', '325', '347', '355', '380', '385', '387', '401', '421', '43', '443', '448', '463', '465', '472', '477', '500', '507', '511', '555', '565', '589', '6', '620', '690', '72', '720', '726', '731', '758', '785', '791', '821', '838', '902', '914', '927', '94', '993']",63,"['17', '18', '20', '21', '27', '28', '29', '33', '34', '35', '39', '50', '54', '57', '85', '87', '90', '94']","['c', 'v']",False,0,True,True,.maj_5.maj_2.maj_5.maj_5.maj_2.maj,14,"['1045', '1143', '231', '30', '324', '387', '443', '463', '465', '472', '477', '589', '720', '791']",14,['c'],6
