Abstract Loop,Loop Total,Loop Songs,Loop Total Songs,Loop ProgIDs,Loop Forms,keyMode,triadMode,formMode,beatMode,Abstract Lick,Lick Total,Lick Songs,Lick Total Songs,Lick Forms,Lick Length
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,28,"['1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '729', '791', '798', '843', '845']",16,"['c', 'cd', 'd', 'o', 'v']",19
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,3,"['1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '615', '729', '791', '798', '843', '845']",17,"['c', 'cd', 'd', 'o', 't', 'v']",18
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,1,"['1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '615', '72', '729', '791', '798', '843', '845']",18,"['c', 'cd', 'd', 'o', 't', 'v']",17
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,1,"['1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '615', '72', '729', '791', '798', '843', '845']",18,"['c', 'cd', 'd', 'o', 't', 'u', 'v']",16
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,7,"['1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '589', '615', '72', '729', '791', '798', '843', '845']",19,"['c', 'cd', 'd', 'o', 't', 'u', 'v']",15
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,2,"['1040', '1045', '1104', '1208', '148', '290', '324', '43', '443', '448', '465', '467', '589', '615', '72', '729', '791', '798', '843', '845']",20,"['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",14
2maj_5maj_5maj_,50,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['160', '161', '226', '227', '228', '280', '281']","['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",False,7,False,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,8,"['1040', '1045', '1104', '1208', '148', '290', '30', '324', '43', '443', '448', '465', '467', '589', '615', '66', '72', '729', '791', '798', '838', '843', '845']",23,"['c', 'cd', 'd', 'l', 'o', 't', 'u', 'v']",13
2maj_5maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj_7maj_5maj_,20,"['1018', '1100', '1117', '203', '330', '41', '468', '615', '619', '674', '752']",11,['234'],"['c', 'd', 'o', 'v']",False,7,False,False,.maj_5.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,20,"['1018', '1100', '1117', '203', '330', '41', '468', '615', '619', '674', '752']",11,"['c', 'd', 'o', 'v']",17
07_5maj_7maj_77_5maj_,43,"['1006', '1041', '1054', '1107', '1116', '1194', '169', '4', '472', '56', '638', '678', '788', '822', '875']",15,"['116', '30']","['bv', 'c', 'h', 'i', 'l', 'u', 'v', 'vc']",False,7,False,False,.maj_0.7_5.maj_7.maj_7.7_5.maj,32,"['1006', '1041', '1054', '1107', '1116', '1194', '4', '472', '638', '678', '822', '875']",12,"['bv', 'c', 'i', 'l', 'u', 'v', 'vc']",6
07_5maj_7maj_77_5maj_,43,"['1006', '1041', '1054', '1107', '1116', '1194', '169', '4', '472', '56', '638', '678', '788', '822', '875']",15,"['116', '30']","['bv', 'c', 'h', 'i', 'l', 'u', 'v', 'vc']",False,7,False,False,.7_5.maj_7.maj_7.7_5.maj,11,"['1006', '1041', '1054', '1107', '1116', '1194', '169', '4', '472', '56', '638', '678', '788', '822', '875']",15,"['bv', 'c', 'h', 'i', 'l', 'u', 'v', 'vc']",5
5maj_7maj_,66,"['1009', '1018', '1071', '1100', '1113', '1117', '1119', '1135', '1139', '1160', '1177', '1212', '1246', '139', '147', '191', '203', '207', '23', '234', '244', '254', '30', '318', '330', '347', '41', '452', '468', '50', '559', '591', '615', '619', '662', '668', '674', '752', '864', '891', '928', '967']",42,"['2', '246', '247', '3', '331', '332']","['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'i', 'ic', 'iv', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vc', 'vd']",False,7,False,False,.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,36,"['1018', '1113', '1139', '1177', '1246', '147', '191', '203', '254', '318', '330', '452', '468', '50', '662', '674', '752', '891', '967']",19,"['b', 'bl', 'bv', 'c', 'cv', 'd', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vd']",19
5maj_7maj_,66,"['1009', '1018', '1071', '1100', '1113', '1117', '1119', '1135', '1139', '1160', '1177', '1212', '1246', '139', '147', '191', '203', '207', '23', '234', '244', '254', '30', '318', '330', '347', '41', '452', '468', '50', '559', '591', '615', '619', '662', '668', '674', '752', '864', '891', '928', '967']",42,"['2', '246', '247', '3', '331', '332']","['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'i', 'ic', 'iv', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vc', 'vd']",False,7,False,False,.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,5,"['1018', '1113', '1135', '1139', '1177', '1246', '147', '191', '203', '254', '318', '330', '452', '468', '50', '559', '615', '662', '674', '752', '891', '967']",22,"['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vd']",18
5maj_7maj_,66,"['1009', '1018', '1071', '1100', '1113', '1117', '1119', '1135', '1139', '1160', '1177', '1212', '1246', '139', '147', '191', '203', '207', '23', '234', '244', '254', '30', '318', '330', '347', '41', '452', '468', '50', '559', '591', '615', '619', '662', '668', '674', '752', '864', '891', '928', '967']",42,"['2', '246', '247', '3', '331', '332']","['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'i', 'ic', 'iv', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vc', 'vd']",False,7,False,False,.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,4,"['1009', '1018', '1113', '1135', '1139', '1160', '1177', '1246', '147', '191', '203', '254', '318', '330', '452', '468', '50', '559', '615', '662', '674', '752', '891', '967']",24,"['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vd']",17
5maj_7maj_,66,"['1009', '1018', '1071', '1100', '1113', '1117', '1119', '1135', '1139', '1160', '1177', '1212', '1246', '139', '147', '191', '203', '207', '23', '234', '244', '254', '30', '318', '330', '347', '41', '452', '468', '50', '559', '591', '615', '619', '662', '668', '674', '752', '864', '891', '928', '967']",42,"['2', '246', '247', '3', '331', '332']","['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'i', 'ic', 'iv', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vc', 'vd']",False,7,False,False,.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj_5.maj,21,"['1009', '1018', '1071', '1100', '1113', '1117', '1135', '1139', '1160', '1177', '1246', '147', '191', '203', '207', '234', '244', '254', '318', '330', '41', '452', '468', '50', '559', '615', '619', '662', '674', '752', '891', '967']",32,"['b', 'bl', 'bv', 'c', 'cl', 'cv', 'd', 'l', 'lb', 'lv', 'o', 't', 'u', 'v', 'vb', 'vc', 'vd']",16
