Abstract Loop,Loop Total,Loop Songs,Loop Total Songs,Loop ProgIDs,Loop Forms,keyMode,triadMode,formMode,beatMode,Abstract Lick,Lick Total,Lick Songs,Lick Total Songs,Lick Forms,Lick Length
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,26,"['191', '23', '559', '798']",4,['c'],13
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,2,"['191', '23', '559', '798']",4,['c'],12
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,1,"['191', '23', '559', '798', '905']",5,['c'],11
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj,0,"['191', '23', '559', '798']",4,['c'],11
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj,0,"['191', '23', '559', '798']",4,['c'],10
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,0,"['191', '23', '559', '798', '905']",5,['c'],10
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,1,"['191', '23', '559', '798', '905']",5,['c'],9
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,4,"['191', '23', '559', '798', '905']",5,['c'],8
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_7.maj_7.maj_5.maj_5.maj_7.maj,9,"['1228', '191', '23', '347', '559', '560', '591', '798', '905']",9,['c'],7
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_7.maj_5.maj_5.maj_7.maj_7.maj,0,"['1281', '23', '555', '71']",4,['o'],7
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_7.maj_5.maj_5.maj_7.maj_7.maj,15,"['1281', '23', '41', '555', '71', '809', '941']",7,['o'],6
5maj_5maj_7maj_7maj_,71,"['1228', '1281', '191', '23', '347', '41', '555', '559', '560', '591', '71', '798', '809', '905', '941']",15,"['101', '132', '142', '149', '76', '77', '78', '80', '81', '92', '93', '94']","['c', 'o']",False,7,True,False,.maj_5.maj_5.maj_7.maj_7.maj,13,"['1281', '23', '41', '555', '71', '809', '941']",7,['o'],5
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,28,"['324', '448', '791']",3,['c'],18
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,1,"['324', '43', '448', '72', '791']",5,['c'],17
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,1,"['148', '324', '43', '448', '72', '791']",6,['c'],16
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,1,"['148', '324', '43', '448', '72', '791']",6,['c'],16
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,2,"['148', '324', '43', '448', '72', '791']",6,['c'],15
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,3,"['1208', '290', '465', '729', '791', '798']",6,['o'],15
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj,0,"['148', '324', '43', '448', '72', '791']",6,['c'],14
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,0,"['1208', '290', '465', '729', '791', '798']",6,['o'],14
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,7,"['1104', '1208', '290', '465', '66', '729', '791', '798', '843', '845']",10,"['o', 'v']",13
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,7,"['1104', '1208', '290', '465', '66', '729', '791', '798', '843', '845']",10,"['o', 'v']",13
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,16,"['1104', '1208', '290', '448', '465', '467', '615', '66', '729', '791', '798', '843', '845']",13,"['o', 'v']",12
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,16,"['1104', '1208', '290', '448', '465', '467', '615', '66', '729', '791', '798', '843', '845']",13,"['o', 'v']",12
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,3,"['1104', '1208', '290', '448', '465', '467', '615', '66', '729', '791', '798', '843', '845']",13,"['o', 'v']",11
2maj_5maj_5maj_,167,"['101', '1040', '1045', '105', '1104', '1203', '1208', '148', '217', '231', '235', '254', '290', '294', '30', '324', '385', '387', '421', '427', '43', '443', '448', '465', '467', '589', '615', '620', '66', '690', '71', '72', '720', '729', '791', '798', '843', '845']",38,"['111', '125', '126', '127', '128', '129', '130', '131', '138', '139', '140', '141', '183', '193', '194', '199', '57', '58', '59', '73', '74', '75', '84', '85', '86', '87']","['c', 'd', 'o', 'v']",False,7,True,False,.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,3,"['1104', '1208', '290', '448', '465', '467', '615', '66', '729', '791', '798', '843', '845']",13,"['o', 'v']",11
