progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,20,5,>S,C.maj.i,A.min.i,F.maj.i,G.maj.i,,,,,,,,,,,,,,,>S_C.maj.i_A.min.i_F.maj.i_G.maj.i_,2.0638651219508537,#,20,13,1063 112 1210 1232 145 253 267 371 434 54 623 67 749 ,i ,NoBound,_C.maj.i_A.min.i_F.maj.i_G.maj.i,4,1.0,2:maj-->,2maj_5maj_9min_8maj_
2,35,6,>S,C.maj.i,F.maj.i,C.maj.i,F.maj.i,C.maj.i,,,,,,,,,,,,,,>S_C.maj.i_F.maj.i_C.maj.i_F.maj.i_C.maj.i_,1.5962017927557985,##,35,29,1100 1113 1117 1119 1139 1212 1287 187 203 23 30 330 347 391 403 452 46 50 619 662 674 758 785 830 864 894 900 952 969 ,i ,NoBound,_C.maj.i_F.maj.i,2,2.5,5:maj-->,5maj_7maj_
3,57,5,C.maj.b,B-.maj.b,C.maj.b,B-.maj.b,C.maj.b,,,,,,,,,,,,,,,C.maj.b_B-.maj.b_C.maj.b_B-.maj.b_C.maj.b_,1.580488280834541,#,14,11,1051 1234 1281 293 393 480 561 572 617 83 834 ,b ,NoBound,_C.maj.b_B-.maj.b,2,2.5,10:maj-->,2maj_10maj_
4,34,7,C.maj.b,B-.maj.b,C.maj.b,B-.maj.b,C.maj.b,B-.maj.b,C.maj.b,,,,,,,,,,,,,C.maj.b_B-.maj.b_C.maj.b_B-.maj.b_C.maj.b_B-.maj.b_C.maj.b_,1.498077546623641,#,10,8,1051 1234 293 393 480 561 617 834 ,b ,NoBound,_C.maj.b_B-.maj.b,2,3.5,10:maj-->,2maj_10maj_
5,49,6,C.maj.b,D.maj.b,C.maj.b,D.maj.b,C.maj.b,D.maj.b,,,,,,,,,,,,,,C.maj.b_D.maj.b_C.maj.b_D.maj.b_C.maj.b_D.maj.b_,1.747163415455475,#,14,11,1051 1234 1281 293 393 480 561 572 617 83 834 ,b ,NoBound,_C.maj.b_D.maj.b,2,3.0,2:maj-->,2maj_10maj_
6,26,8,C.maj.b,D.maj.b,C.maj.b,D.maj.b,C.maj.b,D.maj.b,C.maj.b,D.maj.b,,,,,,,,,,,,C.maj.b_D.maj.b_C.maj.b_D.maj.b_C.maj.b_D.maj.b_C.maj.b_D.maj.b_,1.777362795064169,#,8,6,293 393 480 561 617 834 ,b ,NoBound,_C.maj.b_D.maj.b,2,4.0,2:maj-->,2maj_10maj_
7,20,5,C.maj.b,F.maj.b,B-.maj.b,C.maj.b,F.maj.b,,,,,,,,,,,,,,,C.maj.b_F.maj.b_B-.maj.b_C.maj.b_F.maj.b_,1.8822287189138016,#,12,9,1161 1190 1248 222 235 410 467 779 788 ,b ,NoBound,_C.maj.b_F.maj.b_B-.maj.b,3,1.67,5:maj-->,2maj_5maj_5maj_
8,23,7,C.maj.c,A.min.c,D.maj.c,G.maj.c,C.maj.c,A.min.c,D.maj.c,,,,,,,,,,,,,C.maj.c_A.min.c_D.maj.c_G.maj.c_C.maj.c_A.min.c_D.maj.c_,2.7339419795904845,##,7,6,109 1220 380 546 827 843 ,c ,NoBound,_C.maj.c_A.min.c_D.maj.c_G.maj.c,4,1.75,5:maj-->,5maj_5maj_5maj_9min_
9,21,9,C.maj.c,A.min.c,D.min.c,G.maj.c,C.maj.c,A.min.c,D.min.c,G.maj.c,C.maj.c,,,,,,,,,,,C.maj.c_A.min.c_D.min.c_G.maj.c_C.maj.c_A.min.c_D.min.c_G.maj.c_C.maj.c_,1.7723388509380995,###,5,5,315 728 834 926 986 ,c ,NoBound,_C.maj.c_A.min.c_D.min.c_G.maj.c,4,2.25,5:maj-->,5maj_5maj_9min_5min_
10,52,8,C.maj.c,A.min.c,F.maj.c,G.maj.c,C.maj.c,A.min.c,F.maj.c,G.maj.c,,,,,,,,,,,,C.maj.c_A.min.c_F.maj.c_G.maj.c_C.maj.c_A.min.c_F.maj.c_G.maj.c_,2.311006397199243,##,12,6,1046 120 145 54 568 749 ,c ,NoBound,_C.maj.c_A.min.c_F.maj.c_G.maj.c,4,2.0,2:maj-->,2maj_5maj_9min_8maj_
