progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,45,8,C.7,B-.7,F.7,B-.7,F.7,C.7,B-.7,F.7,,,,,,,,,,,,C.7_B-.7_F.7_B-.7_F.7_C.7_B-.7_F.7_,1.1781533098134038,####,11,11,1125 115 1193 1247 214 289 314 383 455 672 792 ,c h l s v ,NoBound,_C.7_B-.7_F.7_B-.7_F.7,5,1.6,7:7-->,57_77_77_107_77_
2,29,13,C.7,B-.7,F.7,B-.7,F.7,C.7,B-.7,F.7,B-.7,F.7,C.7,B-.7,F.7,,,,,,,C.7_B-.7_F.7_B-.7_F.7_C.7_B-.7_F.7_B-.7_F.7_C.7_B-.7_F.7_,1.4281526509024578,####,9,9,1125 115 1193 214 289 383 455 672 792 ,c h l s v ,NoBound,_C.7_B-.7_F.7_B-.7_F.7,5,2.6,7:7-->,57_77_77_107_77_
3,67,12,C.7,B-.maj,F.maj,C.7,B-.maj,F.maj,C.7,B-.maj,F.maj,C.7,B-.maj,F.maj,,,,,,,,C.7_B-.maj_F.maj_C.7_B-.maj_F.maj_C.7_B-.maj_F.maj_C.7_B-.maj_F.maj_,0.9319920887903511,#######,6,5,366 430 706 886 929 ,c d i l o sc u v ,(929: sc) ,_C.7_B-.maj_F.maj,3,4.0,7:maj-->,77_10maj_7maj_
4,36,4,C.7,B-.maj7,F.maj,C.maj,,,,,,,,,,,,,,,,C.7_B-.maj7_F.maj_C.maj_,1.188721875540867,#,3,1,705 ,c d i ,NoBound,_C.7_B-.maj7_F.maj_C.maj,4,1.0,7:maj-->,07_10maj7_7maj_7maj_
5,24,12,C.7,B-.maj7,F.maj,C.maj,B-.maj,F.maj,D.min7,B-.maj7,C.7,B-.maj7,F.maj,C.maj,,,,,,,,C.7_B-.maj7_F.maj_C.maj_B-.maj_F.maj_D.min7_B-.maj7_C.7_B-.maj7_F.maj_C.maj_,1.4056390622295665,#######,3,1,705 ,c d i ,NoBound,_C.7_B-.maj7_F.maj_C.maj_B-.maj_F.maj_D.min7_B-.maj7,8,1.5,8:maj7-->,27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_
6,40,7,C.7,E-.maj,F.maj,C.7,E-.maj,F.maj,C.7,,,,,,,,,,,,,C.7_E-.maj_F.maj_C.7_E-.maj_F.maj_C.7_,0.9103029464166383,####,2,2,291 625 ,c d i od v ,(291: od) ,_C.7_E-.maj_F.maj,3,2.33,2:maj-->,2maj_77_3maj_
7,20,16,C.7,E-.maj,F.maj,C.7,E-.maj,F.maj,C.7,E-.maj,F.maj,C.7,E-.maj,F.maj,C.7,E-.maj,F.maj,C.7,,,,C.7_E-.maj_F.maj_C.7_E-.maj_F.maj_C.7_E-.maj_F.maj_C.7_E-.maj_F.maj_C.7_E-.maj_F.maj_C.7_,0.9917601481809734,########,2,2,291 625 ,c d i v ,NoBound,_C.7_E-.maj_F.maj,3,5.33,2:maj-->,2maj_77_3maj_
8,69,7,C.7,F.7,C.7,F.7,C.7,F.7,C.7,,,,,,,,,,,,,C.7_F.7_C.7_F.7_C.7_F.7_C.7_,1.0652895862607643,#,10,10,1134 1193 356 377 391 455 625 79 879 894 ,b c cd cl d i iv l o s v vc vd ,(1134: cd) (391: vc; iv; vd) (879: cl) ,_C.7_F.7,2,3.5,5:7-->,57_77_
9,71,6,C.7,F.7,C.7,G.7,F.7,C.7,,,,,,,,,,,,,,C.7_F.7_C.7_G.7_F.7_C.7_,1.0865843131922424,#,14,14,1125 1134 115 1193 1247 214 289 314 383 425 455 510 672 792 ,c d h l s v vl ,(289: vl) ,_C.7_F.7_C.7_G.7_F.7,5,1.2,10:7-->,57_77_77_107_77_
10,40,11,C.7,F.7,C.7,G.7,F.7,C.7,F.7,C.7,G.7,F.7,C.7,,,,,,,,,C.7_F.7_C.7_G.7_F.7_C.7_F.7_C.7_G.7_F.7_C.7_,1.2654925380869588,####,11,11,1125 115 1193 1247 214 289 314 383 455 672 792 ,c h l s v ,NoBound,_C.7_F.7_C.7_G.7_F.7,5,2.2,10:7-->,57_77_77_107_77_
11,25,16,C.7,F.7,C.7,G.7,F.7,C.7,F.7,C.7,G.7,F.7,C.7,F.7,C.7,G.7,F.7,C.7,,,,C.7_F.7_C.7_G.7_F.7_C.7_F.7_C.7_G.7_F.7_C.7_F.7_C.7_G.7_F.7_C.7_,1.2177968115985955,####,9,9,1125 115 1193 214 289 383 455 672 792 ,c h l s v ,NoBound,_C.7_F.7_C.7_G.7_F.7,5,3.2,10:7-->,57_77_77_107_77_
12,104,5,C.7,F.maj,B-.maj,C.7,F.maj,,,,,,,,,,,,,,,C.7_F.maj_B-.maj_C.7_F.maj_,1.60400823670337,#,25,19,1072 1138 1154 1218 1245 167 169 222 235 308 463 472 477 500 565 606 689 726 914 ,b c cd co cu cv d iv l p s uv v ,(1218: uv; iv) (169: cv; cd) (463: cu; co) (477: cv) ,_C.7_F.maj_B-.maj,3,1.67,5:maj-->,27_5maj_5maj_
13,50,8,C.7,F.maj,B-.maj,C.7,F.maj,B-.maj,C.7,F.maj,,,,,,,,,,,,C.7_F.maj_B-.maj_C.7_F.maj_B-.maj_C.7_F.maj_,1.161242459062171,#,13,9,1072 1154 1218 222 308 463 472 477 500 ,b c co cu cv d l s v ,(463: cu; co) (477: cv) ,_C.7_F.maj_B-.maj,3,2.67,5:maj-->,27_5maj_5maj_
14,25,11,C.7,F.maj,B-.maj,C.7,F.maj,B-.maj,C.7,F.maj,B-.maj,C.7,F.maj,,,,,,,,,C.7_F.maj_B-.maj_C.7_F.maj_B-.maj_C.7_F.maj_B-.maj_C.7_F.maj_,1.2554312795575997,#,5,5,1072 1154 463 472 477 ,c co cu cv d s v ,(463: cu; co) (477: cv) ,_C.7_F.maj_B-.maj,3,3.67,5:maj-->,27_5maj_5maj_
15,23,10,C.7,F.maj,B-.maj,C.maj,F.maj,B-.maj,C.maj,F.maj,B-.maj,C.maj,,,,,,,,,,C.7_F.maj_B-.maj_C.maj_F.maj_B-.maj_C.maj_F.maj_B-.maj_C.maj_,1.370862465083061,#####,9,4,235 387 66 71 ,c o v ,NoBound,_C.7_F.maj_B-.maj_C.maj_F.maj_B-.maj_C.maj_F.maj_B-.maj_C.maj,10,1.0,2:maj-->,07_5maj_5maj_2maj_5maj_5maj_2maj_5maj_5maj_2maj_
16,23,6,C.7,F.maj,B-.maj,E-.maj,C.7,F.maj,,,,,,,,,,,,,,C.7_F.maj_B-.maj_E-.maj_C.7_F.maj_,1.3249692858267144,#,5,2,307 322 ,c d iv tv ,(322: iv; tv) (733: iv; tv) ,_C.7_F.maj_B-.maj_E-.maj,4,1.5,5:maj-->,5maj_5maj_5maj_97_
17,21,8,C.7,F.maj,B-.maj,F.maj,B-.maj,F.maj,B-.maj,F.maj,,,,,,,,,,,,C.7_F.maj_B-.maj_F.maj_B-.maj_F.maj_B-.maj_F.maj_,1.2494602799216175,#,13,12,1063 1113 1178 1225 1248 183 244 425 477 925 964 968 ,b c d l o od t u v ,(968: od) ,_C.7_F.maj_B-.maj_F.maj_B-.maj_F.maj_B-.maj_F.maj,8,1.0,7:maj-->,5maj_5maj_7maj_5maj_7maj_5maj_7maj_77_
18,23,7,C.7,F.maj,C.7,F.maj,B-.maj,F.maj,C.7,,,,,,,,,,,,,C.7_F.maj_C.7_F.maj_B-.maj_F.maj_C.7_,1.4029342381953893,##,8,6,1107 1116 1287 160 399 787 ,c v ,NoBound,_C.7_F.maj_C.7_F.maj_B-.maj_F.maj,6,1.17,7:maj-->,5maj_5maj_7maj_77_5maj_77_
19,30,6,C.7,F.maj,C.7,F.maj,F.7,B-.maj,,,,,,,,,,,,,,C.7_F.maj_C.7_F.maj_F.7_B-.maj_,1.8532359131272915,#,16,12,1006 1046 1054 1055 1102 1116 1194 288 399 565 788 993 ,c ub v vb ,(1054: ub) (399: vb) ,_C.7_F.maj_C.7_F.maj_F.7_B-.maj,6,1.0,5:maj-->,07_5maj_27_5maj_77_5maj_
